ID,Column Name,Justification (optional)
9671,Confirmed,negative values
9688,Confirmed,negative values
9923,Confirmed,negative values
10275,Confirmed,negative values
10457,Confirmed,negative values
10533,Confirmed,negative values
10614,Confirmed,negative values
10823,Confirmed,negative values
11217,Confirmed,negative values
11267,Confirmed,negative values
11743,Confirmed,negative values
11812,Confirmed,negative values
11816,Confirmed,negative values
12360,Confirmed,negative values
12471,Confirmed,negative values
13569,Confirmed,negative values
14437,Confirmed,negative values
14623,Confirmed,negative values
14845,Confirmed,negative values
14883,Confirmed,negative values
14968,Confirmed,negative values
15382,Confirmed,negative values
15481,Confirmed,negative values
15751,Confirmed,negative values
15785,Confirmed,negative values
15881,Confirmed,negative values
15895,Confirmed,negative values
15910,Confirmed,negative values
16087,Confirmed,negative values
17065,Confirmed,negative values
17111,Confirmed,negative values
18222,Confirmed,negative values
18740,Confirmed,negative values
18848,Confirmed,negative values
19078,Confirmed,negative values
19256,Confirmed,negative values
19385,Confirmed,negative values
19389,Confirmed,negative values
20166,Confirmed,negative values
20191,Confirmed,negative values
20238,Confirmed,negative values
20427,Confirmed,negative values
20449,Confirmed,negative values
20921,Confirmed,negative values
21118,Confirmed,negative values
22763,Confirmed,negative values
22957,Confirmed,negative values
23040,Confirmed,negative values
23057,Confirmed,negative values
23206,Confirmed,negative values
23861,Confirmed,negative values
25250,Confirmed,negative values
25832,Confirmed,negative values
26109,Confirmed,negative values
26850,Confirmed,negative values
27315,Confirmed,negative values
27455,Confirmed,negative values
27722,Confirmed,negative values
28656,Confirmed,negative values
28789,Confirmed,negative values
29035,Confirmed,negative values
29442,Confirmed,negative values
30251,Confirmed,negative values
30508,Confirmed,negative values
30769,Confirmed,negative values
31246,Confirmed,negative values
31294,Confirmed,negative values
31377,Confirmed,negative values
31823,Confirmed,negative values
31996,Confirmed,negative values
32361,Confirmed,negative values
34270,Confirmed,negative values
34661,Confirmed,negative values
34698,Confirmed,negative values
35223,Confirmed,negative values
35744,Confirmed,negative values
36011,Confirmed,negative values
36018,Confirmed,negative values
37398,Confirmed,negative values
38458,Confirmed,negative values
38491,Confirmed,negative values
38929,Confirmed,negative values
38999,Confirmed,negative values
40644,Confirmed,negative values
40787,Confirmed,negative values
41252,Confirmed,negative values
41572,Confirmed,negative values
41838,Confirmed,negative values
41991,Confirmed,negative values
42240,Confirmed,negative values
43268,Confirmed,negative values
43640,Confirmed,negative values
43665,Confirmed,negative values
43840,Confirmed,negative values
43891,Confirmed,negative values
44184,Confirmed,negative values
44376,Confirmed,negative values
44529,Confirmed,negative values
44872,Confirmed,negative values
44969,Confirmed,negative values
45581,Confirmed,negative values
46550,Confirmed,negative values
46940,Confirmed,negative values
48615,Confirmed,negative values
48914,Confirmed,negative values
48955,Confirmed,negative values
101,Death,negative values
287,Death,negative values
330,Death,negative values
499,Death,negative values
628,Death,negative values
666,Death,negative values
677,Death,negative values
685,Death,negative values
833,Death,negative values
896,Death,negative values
1085,Death,negative values
1141,Death,negative values
1199,Death,negative values
1467,Death,negative values
1785,Death,negative values
2126,Death,negative values
2497,Death,negative values
2946,Death,negative values
3079,Death,negative values
3266,Death,negative values
3335,Death,negative values
3386,Death,negative values
3457,Death,negative values
4278,Death,negative values
4395,Death,negative values
4938,Death,negative values
5302,Death,negative values
5628,Death,negative values
5661,Death,negative values
6089,Death,negative values
6096,Death,negative values
6112,Death,negative values
6578,Death,negative values
6840,Death,negative values
7261,Death,negative values
7784,Death,negative values
8019,Death,negative values
8146,Death,negative values
8195,Death,negative values
8224,Death,negative values
8272,Death,negative values
8524,Death,negative values
8599,Death,negative values
8611,Death,negative values
8634,Death,negative values
8906,Death,negative values
9564,Death,negative values
9813,Death,negative values
9954,Death,negative values
10106,Death,negative values
10228,Death,negative values
10418,Death,negative values
10453,Death,negative values
10803,Death,negative values
10835,Death,negative values
10853,Death,negative values
10909,Death,negative values
11182,Death,negative values
11396,Death,negative values
11481,Death,negative values
11551,Death,negative values
11569,Death,negative values
11600,Death,negative values
11624,Death,negative values
11776,Death,negative values
11852,Death,negative values
12094,Death,negative values
12646,Death,negative values
12683,Death,negative values
12912,Death,negative values
12965,Death,negative values
13544,Death,negative values
13778,Death,negative values
14080,Death,negative values
14197,Death,negative values
14297,Death,negative values
14413,Death,negative values
14863,Death,negative values
14991,Death,negative values
15044,Death,negative values
15524,Death,negative values
15586,Death,negative values
15787,Death,negative values
15796,Death,negative values
15971,Death,negative values
16793,Death,negative values
16818,Death,negative values
17070,Death,negative values
17455,Death,negative values
17473,Death,negative values
17639,Death,negative values
17742,Death,negative values
18065,Death,negative values
18080,Death,negative values
18164,Death,negative values
18323,Death,negative values
18356,Death,negative values
18578,Death,negative values
18666,Death,negative values
19169,Death,negative values
19203,Death,negative values
19443,Death,negative values
19473,Death,negative values
19796,Death,negative values
19844,Death,negative values
20259,Death,negative values
20322,Death,negative values
20598,Death,negative values
20797,Death,negative values
21453,Death,negative values
21467,Death,negative values
21797,Death,negative values
21836,Death,negative values
21918,Death,negative values
21939,Death,negative values
22086,Death,negative values
22736,Death,negative values
23032,Death,negative values
23290,Death,negative values
23474,Death,negative values
23775,Death,negative values
24559,Death,negative values
24938,Death,negative values
25495,Death,negative values
25597,Death,negative values
25767,Death,negative values
25772,Death,negative values
25900,Death,negative values
26211,Death,negative values
26425,Death,negative values
26718,Death,negative values
26872,Death,negative values
27002,Death,negative values
27152,Death,negative values
27401,Death,negative values
27491,Death,negative values
27718,Death,negative values
28653,Death,negative values
28862,Death,negative values
29152,Death,negative values
29242,Death,negative values
29337,Death,negative values
29426,Death,negative values
29435,Death,negative values
29522,Death,negative values
29594,Death,negative values
29912,Death,negative values
30003,Death,negative values
30054,Death,negative values
30256,Death,negative values
30504,Death,negative values
30772,Death,negative values
31309,Death,negative values
31451,Death,negative values
31613,Death,negative values
31749,Death,negative values
31802,Death,negative values
32086,Death,negative values
32267,Death,negative values
32410,Death,negative values
32555,Death,negative values
32694,Death,negative values
32926,Death,negative values
32936,Death,negative values
33000,Death,negative values
33005,Death,negative values
33248,Death,negative values
33304,Death,negative values
33662,Death,negative values
33859,Death,negative values
34373,Death,negative values
34470,Death,negative values
34627,Death,negative values
34841,Death,negative values
34947,Death,negative values
35400,Death,negative values
35597,Death,negative values
35621,Death,negative values
35851,Death,negative values
36155,Death,negative values
36240,Death,negative values
36245,Death,negative values
36309,Death,negative values
36380,Death,negative values
36883,Death,negative values
36967,Death,negative values
36973,Death,negative values
37637,Death,negative values
37849,Death,negative values
38229,Death,negative values
38384,Death,negative values
38865,Death,negative values
38896,Death,negative values
39084,Death,negative values
40136,Death,negative values
40206,Death,negative values
40464,Death,negative values
40609,Death,negative values
40612,Death,negative values
40822,Death,negative values
41333,Death,negative values
41440,Death,negative values
41491,Death,negative values
